
TOKEN_EOF          EOF
TOKEN_DOTDOT       '..'
TOKEN_DOT          '.'
TOKEN_COMMA        ','
TOKEN_COLON        ':'
TOKEN_SEMICOLON    ';'
TOKEN_LPAREN       '('
TOKEN_RPAREN       ')'
TOKEN_LBRACKET     '['
TOKEN_RBRACKET     ']'
TOKEN_LBRACE       '{'
TOKEN_RBRACE       '}'
TOKEN_PIPEEQ       '|='
TOKEN_PIPEPIPE     '||'
TOKEN_PIPE         '|'
TOKEN_CARETEQ      '^='
TOKEN_CARET        '^'
TOKEN_AMPEQ        '&='
TOKEN_AMPAMP       '&&'
TOKEN_AMP          '&'
TOKEN_ARROW        '=>'
TOKEN_EQEQ         '=='
TOKEN_EQ           '='
TOKEN_BANGEQ       '!='
TOKEN_BANG         '!'
TOKEN_GTEQ         '>='
TOKEN_GTGTEQ       '>>='
TOKEN_GTGT         '>>'
TOKEN_GT           '>'
TOKEN_LTEQ         '<='
TOKEN_LTLTEQ       '<<='
TOKEN_LTLT         '<<'
TOKEN_LT           '<'
TOKEN_PLUSEQ       '+='
TOKEN_PLUSPLUS     '++'
TOKEN_PLUS         '+'
TOKEN_MINUSEQ      '-='
TOKEN_MINUSMINUS   '--'
TOKEN_MINUS        '-'
TOKEN_STAREQ       '*='
TOKEN_STAR         '*'
TOKEN_SLASHEQ      '/='
TOKEN_SLASH        '/'
TOKEN_TILDESLASHEQ '~/='
TOKEN_TILDESLASH   '~/'
TOKEN_TILDE        '~'
TOKEN_PERCENTEQ    '%='
TOKEN_PERCENT      '%'
TOKEN_INT          INT
TOKEN_FLOAT        FLOAT
TOKEN_STRING       STRING
TOKEN_UNDERSCORE   '_'
TOKEN_AS           'as'
TOKEN_BREAK        'break'
TOKEN_CONTINUE     'continue'
TOKEN_DEL          'del'
TOKEN_DO           'do'
TOKEN_ELSE         'else'
TOKEN_FALSE        'false'
TOKEN_FN           'fn'
TOKEN_FOR          'for'
TOKEN_FOREACH      'foreach'
TOKEN_FROM         'from'
TOKEN_IF           'if'
TOKEN_IFBANG       'if!'
TOKEN_IN           'in'
TOKEN_LOOP         'loop'
TOKEN_MATCH        'match'
TOKEN_MUT          'mut'
TOKEN_NIL          'nil'
TOKEN_RETURN       'return'
TOKEN_STRUCT       'struct'
TOKEN_TRUE         'true'
TOKEN_USE          'use'
TOKEN_VAL          'val'
TOKEN_WHILE        'while'
TOKEN_WHILEBANG    'while!'
TOKEN_NAME         NAME
